SowID,Treatment,FarrowDate,Onset,Piglet,End,FarrowTime,Induce,DueDate,GestationLength,TNB,SB,SB_perc,Start_H,Start_M,Start_Minutes,Finish_H,Finish_M,Finish_Minutes,Duration,Factor
8146,2,802,1899-12-31T09:30:00Z,1,1899-12-31T22:30:00Z,1900-01-01T13:00:00Z,0,798,119,18,5,0.2777777777777778,09,30,570,22,30,1350,780,1
8152,2,795,1899-12-31T22:53:00Z,1,1899-12-31T04:30:00Z,1899-12-31T05:37:00Z,0,794,116,15,3,0.2,22,53,1373,04,30,270,337,1
8156,2,822,1899-12-31T06:23:00Z,1,1899-12-31T12:53:00Z,1900-01-01T06:30:00Z,0,819,118,10,0,0,06,23,383,12,53,773,390,1
8200,2,796,1899-12-31T15:55:00Z,1,1899-12-31T01:05:00Z,1899-12-31T09:10:00Z,0,794,117,15,2,0.13333333333333333,15,55,955,01,05,65,550,1
8219,2,796,1899-12-31T12:31:00Z,1,1899-12-31T20:44:00Z,1900-01-01T08:13:00Z,0,793,118,15,1,0.06666666666666667,12,31,751,20,44,1244,493,1
8220,2,796,1899-12-31T14:07:00Z,1,1899-12-31T17:57:00Z,1900-01-01T03:50:00Z,0,795,116,16,0,0,14,07,847,17,57,1077,230,1
8238,2,799,1899-12-31T11:01:00Z,1,1899-12-31T18:29:00Z,1900-01-01T07:28:00Z,0,799,115,21,4,0.19047619047619047,11,01,661,18,29,1109,448,1
8597,2,825,1899-12-31T16:01:00Z,1,1899-12-31T23:49:00Z,1900-01-01T07:48:00Z,0,822,118,14,2,0.14285714285714285,16,01,961,23,49,1429,468,1
8603,2,810,1899-12-31T17:26:00Z,1,1899-12-31T03:00:00Z,1899-12-31T09:34:00Z,0,808,117,18,1,0.05555555555555555,17,26,1046,03,00,180,574,1
8654,2,813,1899-12-31T06:55:00Z,1,1899-12-31T09:09:00Z,1900-01-01T02:14:00Z,0,812,116,16,5,0.3125,06,55,415,09,09,549,134,1
8721,2,797,1899-12-31T08:11:00Z,1,1899-12-31T19:49:00Z,1900-01-01T11:38:00Z,0,797,115,24,7,0.2916666666666667,08,11,491,19,49,1189,698,1
8724,2,809,1899-12-31T19:19:00Z,1,1899-12-31T22:47:00Z,1900-01-01T03:28:00Z,0,809,115,14,2,0.14285714285714285,19,19,1159,22,47,1367,208,1
8728,2,795,1899-12-31T21:04:00Z,1,1899-12-31T02:44:00Z,1899-12-31T05:40:00Z,0,794,116,17,0,0,21,04,1264,02,44,164,340,1
8749,2,798,1899-12-31T05:53:00Z,1,1899-12-31T08:39:00Z,1900-01-01T02:46:00Z,0,794,119,17,1,0.058823529411764705,05,53,353,08,39,519,166,1
8778,2,796,1899-12-31T02:20:00Z,1,1899-12-31T09:30:00Z,1900-01-01T07:10:00Z,0,794,117,15,0,0,02,20,140,09,30,570,430,1
8927,2,813,1899-12-31T11:17:00Z,1,1899-12-31T18:02:00Z,1900-01-01T06:45:00Z,0,814,114,15,3,0.2,11,17,677,18,02,1082,405,1
8982,2,801,1899-12-31T05:15:00Z,1,1899-12-31T12:10:00Z,1900-01-01T06:55:00Z,0,800,116,16,1,0.0625,05,15,315,12,10,730,415,1
9086,2,805,1899-12-31T04:28:00Z,1,1899-12-31T11:45:00Z,1900-01-01T07:17:00Z,0,805,115,20,4,0.2,04,28,268,11,45,705,437,1
9102,2,806,1899-12-31T06:08:00Z,1,1899-12-31T13:09:00Z,1900-01-01T07:01:00Z,0,808,113,20,2,0.1,06,08,368,13,09,789,421,1
9103,2,806,1899-12-31T11:49:00Z,1,1899-12-31T18:43:00Z,1900-01-01T06:54:00Z,0,805,116,21,4,0.19047619047619047,11,49,709,18,43,1123,414,1
9132,2,796,1899-12-31T05:25:00Z,1,1899-12-31T09:45:00Z,1900-01-01T04:20:00Z,0,795,116,19,1,0.05263157894736842,05,25,325,09,45,585,260,1
9159,2,799,1899-12-31T05:15:00Z,1,1899-12-31T11:08:00Z,1900-01-01T05:53:00Z,0,797,117,12,1,0.08333333333333333,05,15,315,11,08,668,353,1
9187,2,820,1899-12-31T06:40:00Z,1,1899-12-31T15:50:00Z,1900-01-01T09:10:00Z,0,819,116,10,0,0,06,40,400,15,50,950,550,1
9187,2,821,1899-12-31T06:40:00Z,1,1899-12-31T07:07:00Z,1900-01-01T00:27:00Z,0,819,117,10,0,0,06,40,400,07,07,427,27,1
9446,2,824,1899-12-31T16:12:00Z,1,1899-12-31T22:49:00Z,1900-01-01T06:37:00Z,0,822,117,16,5,0.3125,16,12,972,22,49,1369,397,1
9476,2,809,1899-12-31T10:18:00Z,1,1899-12-31T15:54:00Z,1900-01-01T05:36:00Z,0,808,116,19,3,0.15789473684210525,10,18,618,15,54,954,336,1
9490,2,819,1899-12-31T06:40:00Z,1,1899-12-31T12:24:00Z,1900-01-01T05:44:00Z,0,818,116,22,5,0.22727272727272727,06,40,400,12,24,744,344,1
9494,2,826,1899-12-31T06:31:00Z,1,1899-12-31T13:03:00Z,1900-01-01T06:32:00Z,0,824,117,17,2,0.11764705882352941,06,31,391,13,03,783,392,1
9775,2,811,1899-12-31T12:45:00Z,1,1899-12-31T18:45:00Z,1900-01-01T06:00:00Z,0,810,116,21,0,0,12,45,765,18,45,1125,360,1
10205,2,810,1899-12-31T01:31:00Z,1,1899-12-31T08:35:00Z,1900-01-01T07:04:00Z,0,808,117,15,0,0,01,31,91,08,35,515,424,1
10249,2,800,1899-12-31T20:36:00Z,1,1899-12-31T00:42:00Z,1899-12-31T04:06:00Z,0,799,116,12,0,0,20,36,1236,00,42,42,246,1
10268,2,799,1899-12-31T06:09:00Z,1,1899-12-31T16:39:00Z,1900-01-01T10:30:00Z,0,797,117,21,2,0.09523809523809523,06,09,369,16,39,999,630,1
10310,2,806,1899-12-31T08:13:00Z,1,1899-12-31T15:02:00Z,1900-01-01T06:49:00Z,0,805,116,17,2,0.11764705882352941,08,13,493,15,02,902,409,1
10369,2,827,1899-12-31T13:30:00Z,1,1899-12-31T18:30:00Z,1900-01-01T05:00:00Z,0,827,115,20,5,0.25,13,30,810,18,30,1110,300,1
10382,2,820,1899-12-31T09:33:00Z,1,1899-12-31T12:03:00Z,1900-01-01T02:30:00Z,0,818,117,21,3,0.14285714285714285,09,33,573,12,03,723,150,1
10383,2,828,1899-12-31T08:01:00Z,1,1899-12-31T16:44:00Z,1900-01-01T08:43:00Z,0,824,119,19,5,0.2631578947368421,08,01,481,16,44,1004,523,1
10389,2,827,1899-12-31T13:19:00Z,1,1899-12-31T20:05:00Z,1900-01-01T06:46:00Z,0,824,118,15,2,0.13333333333333333,13,19,799,20,05,1205,406,1
10436,2,825,1899-12-31T15:37:00Z,1,1899-12-31T02:00:00Z,1899-12-31T10:23:00Z,0,825,115,21,3,0.14285714285714285,15,37,937,02,00,120,623,1
10463,2,817,1899-12-31T20:35:00Z,1,1899-12-31T00:52:00Z,1899-12-31T04:17:00Z,0,815,117,15,2,0.13333333333333333,20,35,1235,00,52,52,257,1
10471,2,829,1899-12-31T12:07:00Z,1,1899-12-31T02:50:00Z,1899-12-31T14:43:00Z,0,827,117,19,1,0.05263157894736842,12,07,727,02,50,170,883,1
10472,2,812,1899-12-31T15:55:00Z,1,1899-12-31T23:45:00Z,1900-01-01T07:50:00Z,0,810,117,21,3,0.14285714285714285,15,55,955,23,45,1425,470,1
11300,2,828,1899-12-31T09:39:00Z,1,1899-12-31T17:49:00Z,1900-01-01T08:10:00Z,0,826,117,9,0,0,09,39,579,17,49,1069,490,1
11441,2,826,1899-12-31T17:30:00Z,1,1899-12-31T23:02:00Z,1900-01-01T05:32:00Z,0,826,115,13,2,0.15384615384615385,17,30,1050,23,02,1382,332,1
11621,2,826,1899-12-31T22:15:00Z,1,1899-12-31T07:02:00Z,1899-12-31T08:47:00Z,0,827,114,19,2,0.10526315789473684,22,15,1335,07,02,422,527,1
11847,2,809,1899-12-31T14:22:00Z,1,1899-12-31T15:45:00Z,1900-01-01T01:23:00Z,0,810,114,17,0,0,14,22,862,15,45,945,83,1
11996,2,807,1899-12-31T03:14:00Z,1,1899-12-31T10:14:00Z,1900-01-01T07:00:00Z,0,806,116,21,1,0.047619047619047616,03,14,194,10,14,614,420,1
12199,2,805,1899-12-31T03:30:00Z,1,1899-12-31T14:51:00Z,1900-01-01T11:21:00Z,0,802,118,21,0,0,03,30,210,14,51,891,681,1
12289,2,802,1899-12-31T19:04:00Z,1,1899-12-31T17:54:00Z,1899-12-31T22:50:00Z,0,801,116,20,1,0.05,19,04,1144,17,54,1074,1370,1
12422,2,799,1899-12-31T00:19:00Z,1,1899-12-31T14:40:00Z,1900-01-01T14:21:00Z,0,796,118,18,2,0.1111111111111111,00,19,19,14,40,880,861,1
12507,2,802,1899-12-31T20:45:00Z,1,1899-12-31T01:02:00Z,1899-12-31T04:17:00Z,0,801,116,13,0,0,20,45,1245,01,02,62,257,1
12513,2,801,1899-12-31T21:39:00Z,1,1899-12-31T03:04:00Z,1899-12-31T05:25:00Z,0,800,116,8,1,0.125,21,39,1299,03,04,184,325,1
12551,2,802,1899-12-31T09:33:00Z,1,1899-12-31T11:42:00Z,1900-01-01T02:09:00Z,0,802,115,13,0,0,09,33,573,11,42,702,129,1
12594,2,818,1899-12-31T08:37:00Z,1,1899-12-31T13:14:00Z,1900-01-01T04:37:00Z,0,818,115,17,0,0,08,37,517,13,14,794,277,1
